time_s,nnc_bottom,nnc_second,gradient_per_nm
0.0,0.0,0.0,0.0
9.0,0.0,1.2028896979828e-26,2.4057793959656e-28
257.0,0.0,6.943337983601575e-26,1.388667596720315e-27
7697.0,0.0,6.959996507248546e-26,1.3919993014497092e-27
25697.0,0.0,6.959996507248546e-26,1.3919993014497092e-27
43200.0,0.0,6.959996507248546e-26,1.3919993014497092e-27
